job title,company,location,job type,date,job skills
EPM SharePoint,RMG,"Riyadh, Saudi Arabia ",Full Time,2 days ago,Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · EPM · Installation · Configuration · Security · Reporting · Microsoft Project · Software Development
Product Assortment Merchandiser - Giza,InstaShop,"Giza, Egypt ",Full Time,2 days ago,Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Other · Communication skills · Market Research · Startup
Electrical Design Engineer,alfanar,"Heliopolis, Cairo, Egypt ",Full Time,2 days ago,Experienced · 5 - 10 Yrs of Exp · Creative/Design/Art · Strategy/Consulting · Engineering - Mechanical/Electrical · Design · Electrical · Electrical Engineering · Engineering · Electrical Design · Consultant
Property Advisor - Real Estate Agent,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Sales/Retail · Communication skills · English · Real Estate · Sales Target · Sales Skills · Real Estate Sales · Sales · Property Sales
Quality Assurance Officer- (French Speaker),NEXtCARE,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 2 - 3 Yrs of Exp · Medical/Healthcare · Quality · French speaker · Medical · Quality · Pharmacy · Quality Assurance · Training · QA · Communication skills
STEM Teacher,TechAdemics,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Teaching · Computer Science · Education · Electronics · STEM · Programming · Robotics
junior Oracle Database Administrator - Alexandria,Confidential,"Smouha, Alexandria, Egypt ",Full Time,2 days ago,Experienced · 2+ Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Architecture · Information Technology (IT) · Software Engineering · Software Development · Computer Science · Oracle · Oracle developer
Legal And Corporate Affairs Director,Confidential,"Dokki, Giza, Egypt ",Full Time,2 days ago,Senior Management · 15 - 20 Yrs of Exp · Legal · Strategy/Consulting · C-Level Executive/GM/Director · Commercial Law · Communication skills · Compliance · Corporate · Contract · Corporate Law · English
Stock Controller,Grinta,"Cairo, Egypt ",Full Time,2 days ago,Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Accounting · Finance · Stock Control
Senior Full Stack Developer,e Aswaaq Misr,"Smart Village, Giza, Egypt ",Full Time,2 days ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · PHP · Node.js · React · Development · Computer Science · JavaScript · Software Development
Medical Admin Assistant - Cairo,London International Patient Services,"Sheraton, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 1 - 3 Yrs of Exp · Administration · Medical/Healthcare · Admin · Admin Work · Administration · Secretary · Office Management · English · Customer Service · Medical
Application Support Specialist,Al Ahly Medical Company,"Giza, Giza, Egypt ",Full Time,2 days ago,Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · computer · Customer Service · Customer Support · Customer Care · business · Information Technology (IT) · ITIL
Distribution Supervisor,Rashideen Egypt for Trade,"Tanta, Gharbia, Egypt ",Full Time,2 days ago,Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Other · Sales/Retail · Distribution · FMCG · Logistics
Site Construction Engineers (Architectural /Mechanical/Electrical),Confidential,"Alexandria, Egypt ",Full Time,2 days ago,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Architectural Engineering · Mechanical Engineering · Electrical Engineering · Architecture · buildings · Computer Skills · English
Senior Software Engineer,Eg Insurtech,"Maadi, Cairo, Egypt ",Full Time,2 days ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · .Net · Computer Science · Software Engineering · Software Development · SQL
Assistant Production Manager,Shoura Chemicals,"6th of October, Giza, Egypt ",Full Time,2 days ago,Entry Level · 1 - 3 Yrs of Exp · Operations/Management · Manufacturing/Production · Communication · Administration · MS Office · Production · Production Management · Microsoft Office · ERP · Management
Hotel Operations Officer,Seera Group,"Mohandessin, Giza, Egypt ",Full Time,2 days ago,Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Operations/Management · Tourism/Travel · Communication · English · Hotels · Management · Operations · Hospitality · Tourism
Senior Quantity Surveying Engineer (RICS Certified),Confidential,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Experienced · 10 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · architectural · Civil · Construction · Contracting · Quantity Surveying · AutoCAD · Civil Engineering · Engineering · RICS
Graphic Designer,Premium Card,"Dokki, Giza, Egypt ",Full Time,2 days ago,Experienced · 2 - 3 Yrs of Exp · Creative/Design/Art · Adobe Photoshop · Adobe illustrator · After Effects · photoshop · illustrator · Graphic Design · Adobe After Effects · Adobe Premiere · Design
Sales Engineer,Dream House,"Sheraton, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 1 - 3 Yrs of Exp · females_only · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering · Sales Skills · Sales · Communication Skills · Technical · 2D · 3D · English
Treasury Supervisor,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,2 days ago,Experienced · 10 - 12 Yrs of Exp · Accounting/Finance · Accounting · Banking · Treasury · ERP · Finance · Financial Analysis · Cash Management
Graphic Designer,Yasser Abdallah Developments,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Experienced · 3+ Yrs of Exp · Creative/Design/Art · Adobe After Effects · Adobe illustrator · Adobe Indesign · Adobe Photoshop · Adobe Premiere · Applied Arts · Fine Arts · Graphic Design · illustrator
Accounts Receivable Supervisor,Aedco Fragrances,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Manager · 5 - 10 Yrs of Exp · Accounting/Finance · Accounts Receivable · Finace · Accounting · Commerce · Analysis · Communication · Communication skills · ERP · excel
IB English Teacher For MYP-DP,Groupe Oasis Scolaire,"Maadi, Cairo, Egypt ",Full Time,2 days ago,Experienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Education · IB · Teaching Diploma · MYP · Teacher · English
Organization Development Specialist,Tamweely,"Shubra, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 1 - 2 Yrs of Exp · Human Resources · Organization Development · OD · Analytical Skills · Management · HR · Human Resources (HR)
"MEP Technical Projects Coordinator "" Design / KSA & Egypt ''",Stylus,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Experienced · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · MEP · Mechanical Engineering · Electrical Engineering · Design · Technical Manager · Coordinator · KSA · Fluent · Project Manager
Marketing & Communication Manager,Confidential,"Dokki, Giza, Egypt ",Full Time,2 days ago,Manager · 8 - 12 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Management · Marketing Campaigns · Project Management · Communication skills · MBA · Online Marketing · Marketing Research
Senior iOS Developer,LINK Development,"Maadi, Cairo, Egypt ",Full Time,2 days ago,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Objective-C · iOS · Software Development · Engineering · Information Technology (IT) · Mobile Platforms · iOS Development · Mobile Development
Senior Digital Marketing Specialist / Alexandria,Rose,"Montaza, Alexandria, Egypt ",Full Time,2 days ago,Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · Marketing · social media platforms · Social Media · E-Commerce · Commerce
"Architect Technical Projects Coordinator "" Design / KSA & Egypt """,Stylus,"New Cairo, Cairo, Egypt ",Full Time,2 days ago,Experienced · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Architectural Engineering · Architecture · Design · Technical Manager · Coordinator · KSA · Fluent · Engineering · Project Management
Front Desk Administrator,Naqla,"Nasr City, Cairo, Egypt ",Full Time,2 days ago,Entry Level · 1 - 3 Yrs of Exp · females_only · Administration · Administration · Admin · Office management · Microsoft Office · office · Communication
Sales Agent Intern (Sheraton/Zayed),WATAD Capital,"Heliopolis, Cairo, Egypt ",Internship,2 days ago,Entry Level · Sales/Retail · Business Development · Sales · sales skills · Marketing · Communication · Sales Target
Real Estate Sales Manager - Zamalek,Confidential,"Zamalek, Cairo, Egypt ",Full Time,2 days ago,Senior Management · 10 - 15 Yrs of Exp · Sales/Retail · Sales · Real Estate · Project · inventory · Sales Target · sales skills
Sales Manager,Pure Group,"6th of October, Giza, Egypt ",Full Time,2 days ago,Manager · 5+ Yrs of Exp · Administration · Operations/Management · Sales/Retail · Manager · Sales · Sales Manager · Sales Target · Customer Service · Online Marketing · Marketing
Media Buyer,Deli Techno,"Alexandria, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Purchasing/Procurement · campaigns · Digital Marketing · Planning · Advertising · Online Ads · Google Ads
Production & Material Planner,Mamiba,"6th of October, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering · excel · FMCG · Lean manufacturing · Management · Manufacturing · Planning
Copywriter,Confidential,"Dokki, Giza, Egypt ",Full Time,3 days ago,Experienced · 4 - 7 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Copywriting · copywriter · Online Marketing · Writing · Arabic · Content · Research · Social Media
Business Development Executive,Saya Brokerage,"Sheraton, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · sales skills · Sales Target · Medical Insurance · Insurance Sales · life insurance
Content Creator,Deli Techno,"Alexandria, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Arabic · Content Creation · editing skills · Editing · Marketing · Social Media · Content
Organizational Development Specialist,Misr Insurance Co,"Dokki, Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · Human Resources · Presentation Skills · Communication · Microsoft Outlook · HR function knowledge · Insurance industry · Organization Development · Human Resources Development · Human Resources (HR) · OD
Export Specialist,Gcrystal,"6th of October, Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 4 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Sales/Retail · Export · Sales · Logistics · Communication · Negotiation · Operation · Supply Chain
Business Development Executive - Cairo-Alex Dessert Rd.,Hazel Farm,"Sheikh Zayed, Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · Business Development · Sales/Retail · Business Development · Business development executive · Sales · sales skills · Business Administration · Sales Target · English · Research
Secretary,SFII,"Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 4 Yrs of Exp · Administration · Administration · Communication · Customer Service · Secretary · Office management · Microsoft Office
Human Resources Generalist,SSC Egypt,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · Human Resources · Administration · Business Administration · HRIS · Human Resources · HR · Human Resources (HR) · Labor · Microsoft Office · MS Office
Customer Service Specialist,M² Developments,"Mohandessin, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail · Communication skills · Communication · Customer Care · Customer Support · Customer Service · Real Estate
Sales Representative B2B Chain Hospitality,Mamiba,"Mohandessin, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Business Development · Hospitality/Hotels/Food Services · Sales/Retail · Clients · Customer · Customer Service · Market Research · Potential Clients · Sales · sales skills
Procurement Manager,GTCI Constructors,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Manager · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · Purchasing/Procurement · Construction · Procurement · Supply Chain · Logistics · Purchasing
Linux System Admin,BBIConsultancy,"Nasr City, Cairo, Egypt ",Full Time,3 days ago,Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Cloud · Database · Linux · System Administration · Information Technology (IT)
Quality Assurance Associate,Royal Herbs,"Haram, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Administration · Quality · Export Documentation · Documentation · Export · Quality Assurance · quality · computer · English · Microsoft Office
Stock Controller,Reda' رداء,"Nasr City, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Stock Control · Logistics · Supply Chain
Organizational Development Specialist,Confidential,"Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · Human Resources · Human Resources (HR) · Organization Development · Experience · OD · Presentation
Senior Graphic Designer,Deli Techno,"Alexandria, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · logos · Logo design · Creative Ideas · Branding · Company Branding
Adminisrative Specialist,J&T Express  Lightning,"Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 2 Yrs of Exp · Administration · Office management · Administration · MS Office · Communication · Admin
Digital Marketing Intern,Wham Clinics,"Sheikh Zayed, Giza, Egypt ",Internship,3 days ago,Entry Level · females_preferred · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Management · Marketing · Social Media · Creative · SEO · Website Management · Adobe Photoshop
Real Estate Sales Manager,Coldwell Banker  Trust,"Sheraton, Cairo, Egypt ",Full Time,3 days ago,Manager · 3 - 8 Yrs of Exp · Operations/Management · Sales/Retail · Real Estate · sales skills · Brokerage · Sales Target
Real Estate Team Leader,Coldwell Banker  Trust,"Sheraton, Cairo, Egypt ",Full Time,3 days ago,Manager · 3 - 5 Yrs of Exp · Sales/Retail · Real Estate · Leadership · Sales · English · sales skills · Sales Target
Secretary,Amer Vision Group,"Sheraton, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 2 Yrs of Exp · Administration · Administration · Secretary · Skills · Office management · Microsoft Office · Bookkeeping
Sales Key Account Manager,El Mohandess Print House,"10th of Ramadan City, Sharqia, Egypt ",Full Time,3 days ago,Experienced · 5 - 8 Yrs of Exp · Customer Service/Support · Sales/Retail · Sales · Marketing · Sales Target · sales skills · Customer Service · Account Management · English · Business Administration
Property Consultant,Coldwell Banker  Trust,"Sheraton, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2 - 3 Yrs of Exp · Sales/Retail · Real Estate · Sales · sales skills · Sales Target · Property Sales
Customer Services Agent,ZikryPharmacies,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 9 Yrs of Exp · females_only · Customer Service/Support · Customer Care · Customer · Customer Support · Support · Customer Service · Communication
Sales Manager,ComeX Engineering Company,"6th of October, Giza, Egypt ",Full Time,3 days ago,Manager · 20+ Yrs of Exp · Sales/Retail · sales skills · Sales Target · sales manager · Business Administration · Sales
"Math Teacher ""Grade 4,5,6""",Confidential,"Rehab City, Cairo, Egypt ",Full Time,3 days ago,Experienced · 5 - 10 Yrs of Exp · females_only · Education/Teaching · Teaching · English · Education · American School · Mathematics
Civil Engineer مهندس مدني ( اعمال مباني حديديه ومعدنيه),Sarah Attqnia CO.,"Riyadh, Saudi Arabia ",Full Time,3 days ago,Experienced · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Construction Engineering · Engineering · Civil Engineering
"Math Teacher ""Grade 1,2,3""",Confidential,"Rehab City, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · females_only · Education/Teaching · Teaching · English · Education · American School · Mathematics
Store Keeper,Talent Shop,"Alexandria, Egypt ",Full Time,3 days ago,Entry Level · 1+ Yrs of Exp · males_only · Administration · Logistics/Supply Chain · Operations/Management · Computer Skills · Warehousing · Microsoft Excel · Microsoft Word · store · store keeper · Store Keeping
Offset Production Manager,Confidential,"Alexandria, Egypt ",Full Time,3 days ago,Manager · 8 - 12 Yrs of Exp · Manufacturing/Production · Offset Printing · Production Manager · Engineering · Quality Management · English · Finance
Sales And Marketing Executive,Confidential,"Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 2 Yrs of Exp · Business Development · Sales/Retail · business · Corporate · Leads · Sales · sales skills · Customer Service · English · Sales Target
Technical Office Manager,Redcon Spain,"Cairo, Egypt ",Full Time,3 days ago,Manager · 10 - 12 Yrs of Exp · Engineering - Construction/Civil/Architecture · Architecture Engineering · Technical Office · Engineering · Architecture · technical
HR Specialist,Incotech for Electrical Industries,"Nasr City, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2+ Yrs of Exp · Human Resources · HR · Human Resources (HR) · Recruitment
Cosmetics Sales Specialist,ZikryPharmacies,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Experienced · 5+ Yrs of Exp · females_only · Sales/Retail · Cosmetics Purchasing · Cosmetics · Purchasing · Pharmacy · Procurement · Microsoft Office · Pharmaceutical · Cosmetic
Pharmacist - Heliopolis (Mixed Shifts),ZikryPharmacies,"Heliopolis, Cairo, Egypt ",Full TimeShift Based,3 days ago,Entry Level · 1 - 5 Yrs of Exp · Medical/Healthcare · Pharmaceutical · Pharmacy · Pharmacist Shift Management · Medical Information · Pharmaceutical · Shift Management · Pharmaceutical Sciences · Medical · OTC
Senior Chief Accountant,ZikryPharmacies,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Manager · 3+ Yrs of Exp · males_only · Accounting/Finance · Finance · Financial Management · Financial Analysis · Accounting · Microsoft Office · Financial · Commerce · Microsoft Office suite · Analyst
Pharmacy Branch Manager,ZikryPharmacies,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Manager · 7+ Yrs of Exp · Operations/Management · Sales/Retail · Pharmaceutical · Branch Management · Pharmacy · Community Pharmacies · Sales · Branch Operations · Operations · Sales Skills
Sales Operations Specialist,Corona,"Giza, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Operations/Management · Sales/Retail · Operations · FMCG · Sales Operations · Sales Target · Sales · Communication skills · Customer Service · sales skills
BI Developer,SURE International Technology,"Cairo, Egypt ",Full Time,3 days ago,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Power BI · Power BI · Oracle · SQL · Data Warehouse · SSRS · SSIS · ETL
Warehouse Coordinator,Confidential,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · IT Sales · Microsoft Office · Sales Target · Software Sales · Customer Service · Warehousing · Logistics · Supply Chain
Senior .NET Developer,GlobeMed Egypt,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · HTML5 · CSS3 · JavaScript · jQuery · Entity Framework · Linq · ASP.Net
Export Sales Manager,Confidential,"Bourj Alarab, Alexandria, Egypt ",Full Time,3 days ago,Senior Management · 8 - 12 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Sales/Retail · Business Administration · CRM · Export · Management · Sales · Sales Target · sales skills
Production Engineer - (6th Of October),Cellopack for Packaging Industries,"6th of October, Giza, Egypt ",Full Time,3 days ago,Experienced · 3 - 5 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Printing Manufacturing · Manufacturing · Production · Engineering · Mechanical Engineering · Production Engineer · Printing · Mechanical Production
English Customer Support Agent,TensorGraph,"Maadi, Cairo, Egypt ",Full TimeFreelance / ProjectShift Based,3 days ago,Entry Level · 0 - 1 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · Fluent in English · English
Customer Service Agent/Back Office -Complaints / Second Line Account (English Account),Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Customer Support · Customer Care · Customer Service · Technical Support · english
Senior Software Quality Assurance Specialist,Smart IT,"Nasr City, Cairo, Egypt ",Full Time,3 days ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Software Testing · Quality Assurance · Software Development · QC · QA · Quality
Accounting Manager,ALMALAZ,"Badr City, Cairo, Egypt ",Full Time,3 days ago,Manager · 7 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Accounting · CFA · Finance · Financial Analysis · Financial Management · Financial Reporting · Tax · Cost Accounting
"Telemarketing/Sales Executive ""Immediate Hiring""",ICSC,"Cairo, Egypt ",Full Time,3 days ago,Entry Level · 0 - 2 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Sales · sales skills · Telemarketing · Business Development · Customer Service · Sales Target
Customer Service Agent -Mail & Chat (English Account),Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Tourism/Travel · Call Center · Communication · Customer Care · Customer Support · Service · Customer · Communication skills
Public Relations Specialist,HK Designs,"New Cairo, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Marketing · Public Relations (PR) · Social Media · English
Senior Digital Marketing Executive - Social Media,Adamco Pharm,"6th of October, Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · AdWords · Digital · Digital Marketing · digital media · E-Marketing · Google Adwords · Marketing · Media Buying
Customer Care Specialist -Fixed Shift,Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Communication · Customer Care · Customer Service · Customer Support · English · Sales · Service · Telesales
Operations Compliance Specialist - BPO,DYNINNO Egypt,"Smart Village, Giza, Egypt ",Full Time,3 days ago,Experienced · 2+ Yrs of Exp · Customer Service/Support · Operations/Management · Quality · Compliance · quality · Operations · Reporting · Reporting Analysis · Compliance Management · MS Office
Business Development Engineer,BuildIn,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Business Development · Sales/Retail · Civil Engineering · Business Development · Sales · Microsoft Office · Customer Service · Customer Care · Customer Support
Customer Service Consultant,Sutherland,"Cairo, Egypt ",Full Time,3 days ago,Entry Level · Customer Service/Support · Customer Support · Customer Service · Customer Care · Technical Support · Call Center · English
Dynamics CRM 365 Developer,RawajHCM,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Dynamics CRM · CRM · Dynamics · Software Development · Computer Science · Ax · D365
VOIS - Customer Service Agent -Vodafone Ireland (Work from Home ),_VOIS Egypt,"Cairo, Egypt ",Full TimeShift BasedWork From Home,3 days ago,Entry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English
Assistance Coordinator - French Speaking,Confidential,"Smart Village, Giza, Egypt ",Full TimeShift Based,3 days ago,Entry Level · 0 - 4 Yrs of Exp · Administration · Customer Service/Support · Tourism/Travel · Services Coordination · Customer Care · Customer Support · Microsoft Office · Emergency Services Coordination · Customer Service · Communication skills
Assistance Coordinator - Italian Speaking,Confidential,"Smart Village, Giza, Egypt ",Full TimeShift Based,3 days ago,Entry Level · 0 - 4 Yrs of Exp · Administration · Customer Service/Support · Tourism/Travel · Services Coordination · Customer Care · Customer Support · Microsoft Office · Emergency Services Coordination · Customer Service · Communication skills
English/ French -Technical Support Specialist,Concentrix,"6th of October, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1+ Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · IT/Software Development · Customer Care · Customer Service · Customer Support · Technical Support · English · IT · Microsoft Products
Executive Secretary,Confidential,"Smart Village, Giza, Egypt ",Full Time,3 days ago,Experienced · 2 - 4 Yrs of Exp · Administration · Admin Administration · Administration · Office Management · Microsoft Office · English · Secretary · Human Resources · Arabic · Communication
Outside Sales Representative,Talent Shop,"Alexandria, Egypt ",Full Time,3 days ago,Experienced · 2+ Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Outside Sales · Sales · sales skills · Sales Target
Accountant Cum Admin Officer,Confidential,"Cairo, Egypt ",Full Time,3 days ago,Experienced · 3 - 10 Yrs of Exp · Accounting/Finance · Accounting · Finance · Peachtree · Financial Statement
Assistance Coordinator - Russian Speaking,Confidential,"Smart Village, Giza, Egypt ",Full TimeShift Based,3 days ago,Entry Level · 0 - 4 Yrs of Exp · Administration · Customer Service/Support · Tourism/Travel · Services Coordination · Customer Care · Customer Support · Microsoft Office · Emergency Services Coordination · Customer Service · Communication skills
Business Development Executive,Centro CDX,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2+ Yrs of Exp · Business Development · Sales/Retail · Business Development · Development · business · Presentation · sales skills · Sales · Sales Target · Strategy
Full Stack Developer,Host Sailor,"Ras al-Khaimah, United Arab Emirates ",Full TimeWork From Home,3 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · WHMCS · WordPress · jQuery · JavaScript · XML · Information Technology (IT) · HTML · Software Development
Junior 3D Graphic Design Specialist,United Media Services,"Heliopolis, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Arts · Creativity · Graphic Design · photoshop · Applied Arts · Adobe illustrator · Adobe Photoshop · Design · English
Production Lead,Breadfast,"New Cairo, Cairo, Egypt ",Full Time,3 days ago,Manager · 3+ Yrs of Exp · males_only · Logistics/Supply Chain · Operations/Management · Manufacturing/Production · Production · Retail · Manufacturing · Engineering · Supply Chain · Quality
Marketing Consultant,Aqarmap.com,"Nasr City, Cairo, Egypt ",Full Time,3 days ago,Entry Level · 1 - 2 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · Communication · Communication skills · Computer Skills · Negotiation · sales skills · Sales Target · Sales
Java Tech Lead,FlairsTech,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Java · JavaScript · Mongo · Software Development · Software Engineering · Spring
Real Estate Telesales Agent - New Cairo,Roots Development,"Giza, Egypt ",Full Time,3 days ago,Entry Level · 1+ Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Service · English · Experience · Microsoft Office · Real Estate · sales skills · Sales Target · Telesales
Front End Developer,Perfect Presentation,"6th of October, Giza, Egypt ",Full Time,3 days ago,Experienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Front end · front-end · HTML5 · CSS · JavaScript · Software Development
Recruiter,Keys Group Services,"Maadi, Cairo, Egypt ",Full Time,3 days ago,Experienced · 2 - 5 Yrs of Exp · Human Resources · English · Human Resources (HR) · Recruitment · Microsoft Office · Mass Hiring · Mass Recruitment · HR · Competency Based Interview (CBI) · CBI
Junior Property Consultant - Resale Team,Roots Development,"Sheikh Zayed, Giza, Egypt ",Full Time,3 days ago,Entry Level · 1 - 4 Yrs of Exp · Business Development · Sales/Retail · Sales · Sales Skills · Sales Target · Real Estate · Customer Service · Customer Care · Customer Support · Communication Skills
Planning Manager,CSCEC（Egypt – Alamein Downtown Towers project ),"Alamein, Matruh, Egypt ",Full Time,3 days ago,Manager · 10 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · Construction · Business Planning · Project Management · business · Business Plans · Implementation · Industry · manage
